date,dxy,gold_price,m2_money_supply,usdt_dominance
2016-01-09,115.0095,1097.800048828125,12522.2,0.0139613486133246
2016-01-10,115.0095,1097.800048828125,12522.2,0.0212614032065463
2016-01-11,115.0139,1096.5,12522.2,0.0212986175635094
2016-01-12,115.3128,1085.5999755859375,12522.2,0.0219367916428155
2016-01-13,115.1425,1087.5,12522.2,0.0220531153163021
2016-01-14,115.3846,1073.9000244140625,12522.2,0.0221971051339597
2016-01-15,115.7404,1091.5,12522.2,0.0264673561931263
2016-01-16,115.7404,1091.5,12522.2,0.02463228117143
2016-01-17,115.7404,1091.5,12522.2,0.0249602666165104
2016-01-18,115.7404,1091.5,12522.2,0.0246427207636776
2016-01-19,115.8155,1089.9000244140625,12522.2,0.0252269048742398
2016-01-20,116.3498,1107.0999755859375,12522.2,0.0228318718183752
2016-01-21,115.9833,1099.0999755859375,12522.2,0.0231846857627032
2016-01-22,115.9833,1097.199951171875,12522.2,0.0248145941524812
2016-01-23,115.9833,1097.199951171875,12522.2,0.0245906987903309
2016-01-24,115.9833,1097.199951171875,12522.2,0.0235736413825779
2016-01-25,115.9833,1106.199951171875,12522.2,0.0242512085607715
2016-01-26,115.9833,1121.699951171875,12522.2,0.0241208726603358
2016-01-27,115.5087,1116.0999755859375,12522.2,0.0238926488369681
2016-01-28,115.2224,1115.5999755859375,12522.2,0.0248795585517157
2016-01-29,115.5731,1116.4000244140625,12522.2,0.0249879535467157
2016-01-30,115.5731,1116.4000244140625,12522.2,0.0251946660339641
2016-01-31,115.5731,1116.4000244140625,12522.2,0.0256315999163585
2016-02-01,115.3331,1127.9000244140625,12604.4,0.0254031856396215
2016-02-02,115.553,1127.300048828125,12604.4,0.0253218234516955
2016-02-03,114.6144,1141.300048828125,12604.4,0.0256376526304083
2016-02-04,113.6012,1157.5999755859375,12604.4,0.024351587450289
2016-02-05,114.2935,1157.800048828125,12604.4,0.0245156235534476
2016-02-06,114.2935,1157.800048828125,12604.4,0.02514713152175
2016-02-07,114.2935,1157.800048828125,12604.4,0.0251239013846048
2016-02-08,114.4351,1197.9000244140625,12604.4,0.0254018115938822
2016-02-09,114.127,1198.699951171875,12604.4,0.0252470246522446
2016-02-10,114.2877,1194.699951171875,12604.4,0.024828899869556
2016-02-11,114.1845,1247.9000244140625,12604.4,0.0249473316744198
2016-02-12,114.2992,1239.0999755859375,12604.4,0.0245620585592671
2016-02-13,114.2992,1239.0999755859375,12604.4,0.0240805707788835
2016-02-14,114.2992,1239.0999755859375,12604.4,0.0232386420791707
2016-02-15,114.2992,1239.0999755859375,12604.4,0.0235396140333444
2016-02-16,114.4905,1207.9000244140625,12604.4,0.0230617476578749
2016-02-17,113.8634,1211.0999755859375,12604.4,0.0226457507411249
2016-02-18,113.8897,1226.0999755859375,12604.4,0.0223525524620455
2016-02-19,113.9558,1230.4000244140625,12604.4,0.0224331730900321
2016-02-20,113.9558,1230.4000244140625,12604.4,0.0216682843611046
2016-02-21,113.9558,1230.4000244140625,12604.4,0.0214303587530838
2016-02-22,113.8232,1209.5,12604.4,0.0214421964653935
2016-02-23,114.177,1222.300048828125,12604.4,0.0224272192334225
2016-02-24,114.1716,1238.699951171875,12604.4,0.0221730992791527
2016-02-25,113.9222,1238.199951171875,12604.4,0.0221848045387788
2016-02-26,114.3708,1219.800048828125,12604.4,0.0217626221202065
2016-02-27,114.3708,1219.800048828125,12604.4,0.0218105830053142
2016-02-28,114.3708,1219.800048828125,12604.4,0.0217498831130908
2016-02-29,114.2418,1233.9000244140625,12604.4,0.0215711172694347
2016-03-01,113.9265,1230.300048828125,12662.2,0.0217136440648491
2016-03-02,113.7965,1241.0999755859375,12662.2,0.0221742749293531
2016-03-03,113.2482,1257.4000244140625,12662.2,0.0223113607835996
2016-03-04,112.6387,1269.9000244140625,12662.2,0.0229775398355866
2016-03-05,112.6387,1269.9000244140625,12662.2,0.0234350187919273
2016-03-06,112.6387,1269.9000244140625,12662.2,0.0230300730670377
2016-03-07,112.6219,1263.199951171875,12662.2,0.0226028751547968
2016-03-08,112.8465,1262.0999755859375,12662.2,0.0227177491487128
2016-03-09,112.4268,1256.5999755859375,12662.2,0.0226447806530079
2016-03-10,112.4191,1272.0,12662.2,0.022446324928437
2016-03-11,111.741,1258.699951171875,12662.2,0.0222762509830323
2016-03-12,111.741,1258.699951171875,12662.2,0.0227096303540068
2016-03-13,111.741,1258.699951171875,12662.2,0.022541867776985
2016-03-14,112.1688,1244.4000244140625,12662.2,0.0224615015455234
2016-03-15,112.5545,1230.4000244140625,12662.2,0.0224131842997328
2016-03-16,112.7759,1229.300048828125,12662.2,0.0223593490335297
2016-03-17,110.445,1264.5,12662.2,0.0222706893216059
2016-03-18,110.4002,1253.800048828125,12662.2,0.0228539562473822
