Date,Price,Total Exchange Balance,Inflows,Outflows,Netflows
2023-06-28,30091.6397568426,3224804.946977752,5228.458877334354,-6321.228269430155,-1148.9354944939978
2023-06-29,30458.25082528,3223073.842130779,5035.527311616728,-6173.172400704142,-1187.81791106378
2023-06-30,30490.7915153195,3227515.020743689,5273.380377595617,-6031.170553216538,-1180.8001031744814
2023-07-01,30586.1626093886,3209130.74698628,5207.077014552576,-7138.03276229277,-1265.8796596147074
2023-07-02,30622.2369972301,3211419.1268982696,5129.960730210406,-6743.627433968579,-1324.5778600596798
2023-07-03,31152.7134509953,3211368.573311952,5022.317176965048,-6557.243006227342,-1385.449506089463
2023-07-04,30791.3543255026,3213172.9814720494,4993.934361278702,-6324.171257916855,-1416.579610150976
2023-07-05,30501.9777128283,3215111.1811619024,4915.575299246124,-6035.229756785058,-1404.2930261663398
2023-07-06,29995.789295014,3218065.379480969,4987.494173163046,-5838.311778928055,-1330.9660981487746
2023-07-07,30321.1643734029,3215740.6402383726,4887.107412729514,-5840.3197942835195,-1273.5784519939991
2023-07-08,30270.0471237424,3218908.3187952703,4843.395967003544,-5530.015619327281,-1182.412785057066
2023-07-09,30177.561426356,3219942.780313231,4705.834938974636,-5260.849179946129,-1117.1018897812623
2023-07-10,30399.5676252617,3220317.595516431,4691.274611688327,-5170.900223048379,-1073.5296275930834
2023-07-11,30625.232132438,3220615.76174935,4544.855622545768,-4988.69511095382,-1034.7695194374498
2023-07-12,30386.1848843036,3231624.4189152285,5033.398626239377,-4745.098337694898,-936.1216851060011
2023-07-13,31454.3854580246,3235921.976189477,5268.569078840761,-4684.958324582568,-813.1748391527435
2023-07-14,30326.1414839973,3231557.79511744,5189.653032448041,-4937.561733276398,-741.0404480961317
2023-07-15,30291.1085531506,3232286.9126866586,5128.401025963507,-4848.707975455308,-583.1369625069608
2023-07-16,30232.8659422061,3232564.204561459,4924.248596460604,-4651.382290999625,-448.38460470559266
2023-07-17,30160.6471317664,3233117.588461359,4809.15084189657,-4536.183363472985,-319.2493684423155
2023-07-18,29854.1616294549,3232908.960326439,4690.810724194125,-4446.482953326785,-206.7804636204945
2023-07-19,29928.0626337793,3232964.2636081986,4553.65837073386,-4360.725565806998,-113.02423058722346
2023-07-20,29795.7509329067,3232616.4324671086,4414.685882131601,-4219.610673605868,-38.31760099502774
2023-07-21,29918.0622451605,3234224.863812699,4328.484169837495,-4046.7852188408165,49.89035133002097
2023-07-22,29748.9259907675,3233928.496866892,4126.230065930995,-3863.668841388087,117.68898539192394
2023-07-23,30058.5812563158,3234533.8961447272,4014.9526562182614,-3790.0688947888807,173.39598556341468
2023-07-24,29181.3927993408,3236394.4430725197,4205.217459750376,-3867.6228205636207,231.7688606024722
2023-07-25,29242.2700718324,3237700.9093126794,4168.148540830349,-3758.0291282453777,292.7659249591165
2023-07-26,29339.2283738779,3236834.8606198006,3974.3752820569894,-3662.6470765030163,294.43934760265154
2023-07-27,29204.3502221115,3245495.413471499,4356.615391845858,-3477.1855432154807,315.5692829149502
2023-07-28,29320.9363484864,3246259.07222161,4302.219368276801,-3427.907592881115,360.0136026452388
2023-07-29,29359.2726808107,3246201.226002749,4072.979214781683,-3266.011305669715,397.6760925455078
2023-07-30,29275.109106224,3245513.7611928075,3864.223909567572,-3160.1515150590653,428.47652747747395
