time,asset,CapMVRVCur,SplyCur
2016-06-15,btc,2.00817303,15662061.10475819
2016-06-16,btc,2.18424554,15665786.10475409
2016-06-17,btc,2.12593041,15669511.10475401
2016-06-18,btc,2.14155867,15673461.10475401
2016-06-19,btc,2.15941186,15677886.10475399
2016-06-20,btc,2.03279428,15681986.10475398
2016-06-21,btc,1.88290437,15685711.10475393
2016-06-22,btc,1.68209991,15688936.10475389
2016-06-23,btc,1.77191858,15692436.10475383
2016-06-24,btc,1.86988311,15695661.1047538
2016-06-25,btc,1.87909186,15699711.10475378
2016-06-26,btc,1.7731205,15703361.10474378
2016-06-27,btc,1.83085813,15707036.10474376
2016-06-28,btc,1.81560781,15710736.10474373
2016-06-29,btc,1.79144978,15714386.10474368
2016-06-30,btc,1.88463722,15718136.10474153
2016-07-01,btc,1.89054098,15722011.10474151
2016-07-02,btc,1.95662702,15725736.10474144
2016-07-03,btc,1.84470645,15729586.10474144
2016-07-04,btc,1.89000024,15733361.10474141
2016-07-05,btc,1.85502138,15736986.10474131
2016-07-06,btc,1.87853142,15740486.10474131
2016-07-07,btc,1.77579285,15743911.10474124
2016-07-08,btc,1.8419359,15747536.10474122
2016-07-09,btc,1.80354226,15750598.60474103
2016-07-10,btc,1.79645545,15752548.60474103
2016-07-11,btc,1.79504742,15754336.10474101
2016-07-12,btc,1.84676287,15756123.60474093
2016-07-13,btc,1.81377039,15757736.10473786
2016-07-14,btc,1.81967435,15759498.60473785
2016-07-15,btc,1.83455167,15761186.10473783
2016-07-16,btc,1.82935184,15763148.60473783
2016-07-17,btc,1.86895135,15765011.10473783
2016-07-18,btc,1.8515086,15766861.10473576
2016-07-19,btc,1.8472273,15768461.10473572
2016-07-20,btc,1.82663887,15770336.10473565
2016-07-21,btc,1.82456417,15771998.60473559
2016-07-22,btc,1.7803472,15773611.10473554
2016-07-23,btc,1.79860084,15775248.60473554
2016-07-24,btc,1.80565737,15776798.60473553
2016-07-25,btc,1.78771375,15778436.10473552
2016-07-26,btc,1.78522608,15780048.6047354
2016-07-27,btc,1.78796338,15781648.6047354
2016-07-28,btc,1.78683669,15783348.60473536
2016-07-29,btc,1.78935642,15785186.10473531
2016-07-30,btc,1.78228347,15786673.60473531
2016-07-31,btc,1.7008979,15788598.60473531
2016-08-01,btc,1.6531908,15790511.1047353
